stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1349,,"Marconi Cr Taylor PS after Lascelles CCT",, -35.378685, 149.065353,,,0
1350,,"Marconi Cr opp Taylor PS",, -35.378727, 149.065491,,,0
1351,,"Marconi Cr after Lascelles Cct",, -35.381702, 149.065308,,,0
1352,,"Marconi Cr after Hutchison Cr",, -35.381401, 149.065582,,,0
1353,,"Summerland Cct after Marconi Cr",, -35.383373, 149.067474,,,0
1354,,"Summerland Cct after Gallagher St",, -35.383465, 149.067490,,,0
1355,,"Summerland Cct after Hutchison Cr",, -35.384914, 149.070892,,,0
1356,,"Summerland Cct 2nd after Mason St",, -35.385021, 149.071136,,,0
1357,,"Summerland Cct after Lee Steere Cr",, -35.387623, 149.075043,,,0
1358,,"Summerland Cct after 2nd Kingsmill St",, -35.387516, 149.074921,,,0
1359,,"Langdon Av after Dyer Pl",, -35.392410, 149.089645,,,0
1360,,"Langdon Av after Garrett St",, -35.392319, 149.089325,,,0
1361,,"Langdon Av after Shackell Pl",, -35.392567, 149.093018,,,0
1362,,"Langdon Av after Sainsbury St",, -35.392174, 149.093689,,,0
1363,,"Langdon Av Wanniassa Hills PS",, -35.392151, 149.095779,,,0
1364,,"Langdon Av after Simmie Pl",, -35.392879, 149.096558,,,0
1365,,"Langdon Av after Gaunson Cr",, -35.396343, 149.096390,,,0
1366,,"Langdon Av after Kirkton St",, -35.396095, 149.096237,,,0
1367,,"Langdon Av after Brunton St",, -35.397873, 149.097412,,,0
1368,,"Langdon Av 2nd after Gaunson Cr",, -35.397755, 149.097412,,,0
1369,,"Langdon Av after Sternberg Cr",, -35.400372, 149.097397,,,0
1370,,"Langdon Av after Longmore Cr",, -35.400017, 149.097733,,,0
1371,,"Drakeford Dr after Mortimer Lewis Dr",, -35.402576, 149.074417,,,0
1372,,"Drakeford Dr before Taverner St",, -35.401230, 149.074570,,,0
1373,,"Drakeford Dr after Taverner St",, -35.408028, 149.073532,,,0
